number,time,thscode,open,high,low,close,volume,amount,turnoverRatio,totalCapital,pe,pb
69,2023-01-09,603939.SH,241.6348,245.1164,238.0396,239.8183,4861590.0,309480909.0,0.6765,45734441414.1,41.6475,5.6628
70,2023-01-06,603939.SH,244.738,245.6463,238.418,241.6348,3157044.0,201809928.0,0.4393,46080859780.5,41.9629,5.7057
71,2023-01-05,603939.SH,248.2954,251.7013,243.9054,245.8733,3788526.0,246786531.0,0.5272,46889169302.1,42.699,5.8058
72,2023-01-04,603939.SH,251.6635,252.7988,245.6084,247.8034,3749120.0,245481121.0,0.5217,47257238816.4,43.0342,5.8514
73,2023-01-03,603939.SH,237.6612,253.7449,237.6612,251.6635,7882551.0,521562250.0,1.0969,47993377845.0,43.7046,5.9425
74,2022-12-30,603939.SH,238.7208,242.0511,230.9249,241.5969,5750853.0,361593503.0,0.8003,46073642731.2,41.9564,5.7048
75,2022-12-29,603939.SH,222.5235,242.0889,222.5235,239.1749,9293431.0,583048536.0,1.2933,45611751576.0,41.5358,5.6476
76,2022-12-28,603939.SH,221.9558,221.9558,217.0361,220.0636,4193107.0,242489486.0,0.5835,41967141679.5,38.2168,5.1964
77,2022-12-27,603939.SH,223.848,225.0591,218.3985,220.3285,3274787.0,191441103.0,0.4557,42017661024.6,38.2628,5.2026
78,2022-12-26,603939.SH,229.1841,230.4708,222.9776,223.2425,2407105.0,143552002.0,0.335,42573373820.7,38.7689,5.2714
79,2022-12-23,603939.SH,221.3882,227.7081,220.4421,224.7941,2556378.0,152106398.0,0.3557,42869272842.0,39.0384,5.3081
80,2022-12-22,603939.SH,227.0648,227.4811,221.0854,222.6749,2482069.0,146513532.0,0.3454,42465118081.2,38.6703,5.258
81,2022-12-21,603939.SH,221.3125,227.0648,220.0258,224.832,3699159.0,219716684.0,0.5148,42876489891.3,39.0449,5.3089
82,2022-12-20,603939.SH,224.4157,226.6485,218.7391,222.4857,4920843.0,287582016.0,0.6848,42429032834.7,38.6375,5.2535
83,2022-12-19,603939.SH,237.1313,238.191,223.2804,225.1347,7267635.0,435958888.0,1.0113,42934226285.7,39.0975,5.3161
84,2022-12-16,603939.SH,232.1738,237.0935,230.0923,237.0935,3899206.0,241358145.0,0.5426,45214813864.5,41.1743,5.5985
